,Test,Number of intervals,Query structure,Probabilities,Expected of optimum query set,Expected of approximation algorithm,Expected of heuristic approximation algorithm,Competitive ratio of approximation algorithm,Competitive ratio of heuristic approximation algorithm,Expected competitive ratio of approximation algorithm,Expected competitive ratio of heuristic approximation algorithm,Number of simulations
0,1.2.5,50,Descending high to low to uniform,All uniform,135.402,146.927,146.927,1.0851169111239125,1.0851169111239125,1.091468253968245,1.091468253968245,1000
1,1.2.4,40,Descending high to low to uniform,All uniform,115.822,126.632,126.632,1.093332872856625,1.093332872856625,1.1019811320754773,1.1019811320754773,1000
2,1.2.3,30,Descending high to low to uniform,All uniform,93.992,114.916,118.326,1.2226146906119668,1.2588943739892755,1.2085891666666635,1.2412625000000008,1000
3,1.2.2,20,Descending high to low to uniform,All uniform,75.207,92.631,92.773,1.2316805616498465,1.2335686837661388,1.216765363786194,1.217385835099293,1000
4,1.2.1,10,Descending high to low to uniform,All uniform,54.156,65.581,64.431,1.2109646207253122,1.1897296698426767,1.1891259259259312,1.1700555555555525,1000
